sponsor,xml,title,summary,start_year,start_month,phase,conditions,enrollment,status,meshes,condition_final
Sanofi,NCT00066313.xml,A Phase II Study Of ZD6474 Or Placebo In Small Cell Lung Cancer Patients Who Have Complete Or Partial Response To Induction Chemotherapy +/- Radiation Therapy,RATIONALE: ZD6474 may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. ZD6474 may also stop the growth of small cell lung cancer by blocking blood flow to the tumor. PURPOSE: This randomized phase II trial is studying how well ZD6474 works compared to placebo in treating patients with small cell lung cancer that has responded to previous chemotherapy with or without radiation therapy.,2003,5,Phase 2,['Lung Cancer'],0,Completed,"['Lung Neoplasms', 'Small Cell Lung Carcinoma']",Small Cell Lung Carcinoma
Sanofi,NCT00068211.xml,A Phase II Study of ILX651 Administered Intravenously Daily for Five Consecutive Days Once Every 3 Weeks in Patients With Inoperable Locally Advanced or Metastatic Melanoma.,"This is a Phase II, non-randomized, open label study of ILX651 in patients with inoperable locally advanced or metastatic melanoma. Approximately 60 patients will be enrolled in this study that is expected to last 18 months. All patients will be treated with ILX651 administered IV daily for 5 consecutive days once every 21 days. The primary objective of this study is to determine the overall response rate for all patients who are treated with ILX651. The secondary objectives are to determine the progression free survival at 18 weeks, duration of response, time to tumor progression, survival, safety/tolerability of ILX651 and to evaluate the pharmacokinetic profile.",2003,8,Phase 2,['Melanoma'],0,Completed,['Melanoma'],Melanoma
Sanofi,NCT00071188.xml,"A Randomized, Partially Blinded, Phase II Study to Assess the Safety, Tolerability and Efficacy of ZD6474 Alone or in Combination With Paclitaxel and Carboplatin in Subjects With Previously Untreated Locally Advanced or Metastatic Non-small Cell Lung Cancer (NSCLC)",The purpose of the run-in phase of this study is to determine the appropriate and tolerable dose of ZD6474 (200mg or 300mg) to be administered in combination with paclitaxel and carboplatin in subjects with previously untreated locally advanced or metastatic NSCLC. This phase of the trial is closed to enrollment. The purpose of the randomized phase of this study is to determine the efficacy of ZD6474 alone versus that of ZD6474 in combination with paclitaxel and carboplatin versus that of paclitaxel and carboplatin alone in subjects with previously untreated locally advanced or metastatic NSCLC. This phase of the trial is closed to enrollment.,2004,2,Phase 2,"['Carcinoma, Non-Small-Cell Lung']",0,Completed,"['Carcinoma, Non-Small-Cell Lung']","Carcinoma, Non-Small-Cell Lung"
Sanofi,NCT00078455.xml,A Phase II Study of ILX651 Administered Intravenously Daily for Five Consecutive Days Once Every 3 Weeks in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Carcinoma,"This is a Phase II, non-randomized, open label study of ILX651 in patients with locally advanced or metastatic non-small cell lung carcinoma (NSCLC). Approximately 60 patients will be enrolled in this study that is expected to last 18 months. All patients will be treated with ILX651 administered intravenously (IV) daily for 5 consecutive days once every 21 days. The primary objective of this study is to determine the overall response rate. The secondary objectives are to determine the progression free survival, duration of response, time to tumor progression, survival, safety/tolerability of ILX651, and to evaluate pharmacokinetic profile.",2003,12,Phase 2,['Non-Small-Cell Lung Carcinoma'],0,Completed,"['Carcinoma', 'Lung Neoplasms', 'Carcinoma, Non-Small-Cell Lung']","Carcinoma, Non-Small-Cell Lung"
Sanofi,NCT00081796.xml,"A Randomized, Open-Label, Phase III Study of RPR109881 IV Every 3 Weeks Versus Capecitabine (Xeloda) Tablets Twice Daily for 2 Weeks in 3-Week Cycles in Patients With Metastatic Breast Cancer Progressing After Taxanes and Anthracycline Therapy",The purpose of this clinical trial is to determine if RPR109881 is a better treatment than capecitabine (Xeloda) for advanced breast cancer in patients that no longer benefit from docetaxel and/or paclitaxel.,2004,4,Phase 3,"['Breast Cancer', 'Metastases']",438,Completed,['Breast Neoplasms'],Breast Neoplasms
Sanofi,NCT00081900.xml,"A Phase 1/2 Study of DENSPM (N1, N11-diethylnorspermine) in Patients With Unresectable Hepatocellular Carcinoma","Approximately 18-45 patients with Hepatocellular Carcinoma (HCC) will be treated with DENSPM at approximately 5 centers in the United States. First, we will be trying to determine the highest dose that can be given safely and is well tolerated (this is called the maximally tolerated dose, or the MTD, for short). Once that is established, we will enroll additional patients to learn more about potential side effects and to see whether DENSPM can slow the growth of HCC tumors. We also want to learn about the safety of DENSPM. Many medications used to treat cancer cause side effects (discomforts or illness). In this study, we want to understand what side effects occur in patients with HCC who are treated with DENSPM.Study was terminated after initial assessment of insufficient data to support clinical benefit in this population.",2004,3,Phase 1/Phase 2,"['Carcinoma, Hepatocellular']",38,Terminated,"['Carcinoma', 'Carcinoma, Hepatocellular']","Carcinoma, Hepatocellular"
Sanofi,NCT00087802.xml,A Phase III Randomized Trial of Gemcitabine/Oxaliplatin (GEMOX) Versus Carboplatin/Paclitaxel (CP) as First-Line Therapy in Patients With Advanced Non-Small Cell Lung Cancer (NSCLC),The purpose of this study is to compare combination treatment of gemcitabine + oxaliplatin (GEMOX) with carboplatin + paclitaxel (CP) to determine if there is a difference in response and safety between the two drug combinations for the treatment of advanced non-small cell lung cancer (NSCLC).,2004,3,Phase 3,"['Carcinoma, Non-Small-Cell Lung']",383,Completed,"['Carcinoma, Non-Small-Cell Lung']","Carcinoma, Non-Small-Cell Lung"
Sanofi,NCT00087958.xml,"Phase II Multi-Center, Open-Label, Non-Randomized Study of Intravenous RPR109881 Given Every 3 Weeks in Patients With Metastatic Breast Cancer Progressing After Therapy With Anthracyclines, Taxanes and Capecitabine","The purpose of this clinical trial is to determine if the investigational drug is able to reduce/shrink advanced breast cancer tumors in patients who no longer benefit from anthracyclines, taxanes and capecitabine.",2004,8,Phase 2,['Breast Cancer'],168,Completed,['Breast Neoplasms'],Breast Neoplasms
Sanofi,NCT00094081.xml,"Phase III Randomized Trial of Concomitant Radiation, Cisplatin, and Tirapazamine Versus Concomitant Radiation and Cisplatin in Patients With Advanced Head and Neck Cancer","The trial will compare the efficacy and safety of concomitant chemoradiation with tirapazamine, cisplatin and radiation versus cisplatin and radiation.",2002,10,Phase 3,['Head and Neck Neoplasms'],861,Completed,['Head and Neck Neoplasms'],Head and Neck Neoplasms
Sanofi,NCT00094965.xml,Phase II Trial of Oxaliplatin in Combination With Bolus/Infusional 5FU/LV (FOLFOX4) in Patients With Advanced Gastrointestinal (GI) Cancers With Varying Degrees of Renal Impairment,"This trial is a phase II study in patients with advanced gastrointestinal (GI) malignancies who will be assigned to one of 4 cohorts (normal, mild, moderate and several renal dysfunction) based on their baseline measured creatinine clearance then treated with FOLFOX4. Standard bone marrow and liver function inclusion and exclusion criteria must be met prior to study treatment. FOLFOX4 in the study is given every 2 weeks (1 cycle = 2 weeks) for up to 12 cycles unless there are treatment delays to allow for recovery from toxic effects. Dose modifications are included for protocol specified toxicities. After 12 treatment cycles on study, patients who are having a beneficial disease response may continue to have oxaliplatin supplied off study to continue the treatment regimen until disease progression, prohibitive toxicity or death. Oxaliplatin pharmacokinetic studies (plasma and urine) are planned during cycles 1 and 2 on each patient. Creatinine clearance will be assessed every 2 cycles and disease status will be assessed every 3 cycles of treatment during the study.",2004,9,Phase 2,['Gastrointestinal Cancer'],43,Completed,['Gastrointestinal Neoplasms'],Gastrointestinal Neoplasms
Sanofi,NCT00113048.xml,A Phase I Study of Subcutaneously Administered CAMPATH in CD52 Expressing Hematologic Malignancies,This phase I study will involve escalating doses of CAMPATH until the goal dose for the cohort is tolerated. The CAMPATH goal dose will be administered to the patient subcutaneously (SQ) 3 times per week for up to 12 weeks.,2003,12,Phase 1,['Hematologic Malignancies'],24,Terminated,['Neoplasms'],Neoplasms
Sanofi,NCT00129870.xml,"CONCEPT - Phase IV, Randomized, Prospective, Multicenter Comparison of Intermittent Schedule of Oxaliplatin Combined With FOLFOX/Bevacizumab vs Conventional Mode of Administration of FOLFOX/Bevacizumab + Neuroprophylaxis With Calcium/Magnesium for Optimization of First-Line Therapy of Metastatic Colorectal Cancer","The primary rationale for this study is to develop an optimized schedule of administration of FOLFOX + bevacizumab that maximizes the efficacy and safety of this regimen when administered to patients with advanced colorectal cancer. The hypothesis is that the use of an intermittent oxaliplatin (IO) schedule of FOLFOX/bevacizumab will allow these patients to continue on treatment for a longer period of time by reducing the proportion of patients who discontinue therapy early because of treatment-related toxicities and thus increasing the possibility of a longer time to progression. The primary objective is: - To test the hypothesis that an intermittent oxaliplatin (IO) schedule of FOLFOX/bevacizumab will allow patients to remain on therapy for a longer period of time compared to a conventional \""treat-to-failure\"" schedule, by reducing the proportion of patients who discontinue therapy for treatment-related toxicities. The secondary objectives are: - To evaluate the impact of calcium/magnesium infusions on the incidence and severity of neurotoxicity in subjects receiving either the IO or conventional FOLFOX/bevacizumab treatment schedules as first-line treatment for metastatic colorectal cancer. - To evaluate the safety and efficacy of the IO versus the conventional schedule + calcium and magnesium infusions, as part of oxaliplatin-based first-line therapy for metastatic colorectal cancer.",2005,2,Phase 4,['Colorectal Cancer'],180,Terminated,['Colorectal Neoplasms'],Colorectal Neoplasms
Sanofi,NCT00160030.xml,Phase II Study Comparing Radiochemotherapy With the Folfox 4 Regimen Versus Radiochemotherapy With 5FU-Cisplatin (Herskovic Regimen) in First Line Treatment of Patients With Inoperable Esophageal Cancer,The primary objectives of this study are to assess the feasibility (completion of full treatment) in both arms and to assess endoscopic complete response rate in both arms. The secondary objective of this study is to assess the toxicity profile of each arm using the National Cancer Institute-Common Toxicity Criteria (NCI-CTC) scale (V.3).,2004,9,Phase 2,['Esophageal Neoplasms'],97,Completed,['Esophageal Neoplasms'],Esophageal Neoplasms
Sanofi,NCT00174564.xml,A Multicentre Phase II Trial of Gemcitabine and Oxaliplatin (GEMOX) in Patients With Biliary Tract Cancer,"The primary objective is to evaluate the efficacy of the GEMOX treatment as 1st line therapy in patients with advanced biliary tract cancer based on response rate measured by the RECIST unidimensional criteria. Secondary objectives are : Progression free survival, overall survival and safety.",2003,4,Phase 2,['Biliary Tract Neoplasms'],67,Completed,['Biliary Tract Neoplasms'],Biliary Tract Neoplasms
Sanofi,NCT00174616.xml,Phase 2 Study of Weekly Oxaliplatin and Capecitabine (XELOX) in Combination With Preoperative Radiotherapy in Patients With MRI Defined Locally Advanced Rectal Cancer,"Primary objective: - Pathological complete response (ypT0N0) rate Secondary objectives: - Histopathological R0 resection rate - Pathological downstaging (ypT0-T2N0) rate - One month surgical complication rate - Predictive value of pre-operative MRI for surgical, pathological and clinical outcomes - Safety - Local and distant recurrence rates - Progression-free survival - Overall survival",2003,7,Phase 2,['Rectal Neoplasms'],87,Completed,['Rectal Neoplasms'],Rectal Neoplasms
Sanofi,NCT00174629.xml,"Open-Label, Cooperative, Randomized, Multicenter Phase III Study on the Use of Cisplatin Resistant Genotype (ERCC1 Over-Expression) in Tumor RNA to Customize Chemotherapy in Stage IV-IIIB (Malignant Pleural Effusion) Non-Small-Cell Lung Cancer Patients","Primary Objective: - To compare response rate between genotypic groups and control group. Secondary Objective: - To determine the safety, time to treatment failure and survival in control and genotypic arms.",2001,6,Phase 3,['Lung Neoplasms'],449,Completed,"['Carcinoma, Non-Small-Cell Lung', 'Lung Neoplasms']",Lung Neoplasms
Sanofi,NCT00174655.xml,"An Intergroup Phase III Trial to Evaluate the Activity of Docetaxel, Given Either Sequentially or in Combination With Doxorubicin, Followed by CMF, in Comparison to Doxorubicin Alone or in Combination With Cyclophosphamide, Followed by CMF, in the Adjuvant Treatment of Node-positive Breast Cancer Patients.","Primary objectives: - To compare Disease-Free Survival (DFS) of an adjuvant treatment with docetaxel given either sequentially or in combination with doxorubicin and followed by CMF to doxorubicin alone or in combination with cyclophosphamide and followed by CMF in operable breast cancer patients with positive axillary lymph nodes. Secondary objectives: - To compare DFS of an adjuvant treatment with doxorubicin followed by docetaxel followed by CMF to doxorubicin followed by CMF in operable breast cancer patients with positive axillary lymph nodes - To compare DFS of an adjuvant treatment with docetaxel in combination with doxorubicin followed by CMF to doxorubicin in combination with cyclophosphamide followed by CMF in operable breast cancer patients with positive axillary lymph nodes - To compare DFS of an adjuvant treatment with doxorubicin followed by docetaxel followed by CMF to doxorubicin in combination with docetaxel followed by CMF in operable breast cancer patients with positive axillary lymph nodes, (sequential mono-chemotherapy versus polychemotherapy). - To compare overall survival of treatment arms. - To compare toxicity of treatment arms. - To evaluate pathologic and molecular markers for predicting efficacy. - Socioeconomic data will be collected in order to be able to perform a socioeconomic analysis by country, when needed.",1998,6,Phase 3,['Breast Neoplasms'],2887,Completed,['Breast Neoplasms'],Breast Neoplasms
Sanofi,NCT00174707.xml,A Phase III Randomized Study of Sequential Epidoxorubicin Followed By CMF: Cyclophosphamide+Methotrexate+Fluorouracil (Arm A) Versus Sequential Epidoxorubicin Followed By Docetaxel Followed By CMF (Arm B) Versus Sequential Intensified Epidoxorubicin Followed By Docetaxel Followed By High-Dose Cyclophosphamide (Arm C) in Early Breast Cancer Patients With Positive Axillary Lymph Nodes,"Primary objectives: - To compare the disease free survival (DFS) in patients treated with the sequential epidoxorubicin, cyclophosphamide, methotrexate, and fluorouracil (CMF) regimen to that in patients treated with the same treatment plus docetaxel given sequentially after epidoxorubicin Secondary objectives: - To compare the DFS in patients treated with the sequential epidoxorubicin, docetaxel and CMF (only patients with > or = 4 lymph nodes) regimen to that in patients treated with sequential intensified epidoxorubicin/docetaxel/high dose (HD) cyclophosphamide regimen - To evaluate the overall survival in each arm - To evaluate the tolerability of a sequential intensified epidoxorubicin/docetaxel/HD-cyclophosphamide (arm C) - To compare the safety of a sequential epidoxorubicin/docetaxel/CMF (arm B) regimen versus a standard sequential epidoxorubicin/CMF regimen (arm A)",1997,12,Phase 3,['Breast Neoplasms'],998,Completed,['Breast Neoplasms'],Breast Neoplasms
Sanofi,NCT00174772.xml,A Two Arm Phase II Study Comparing Docetaxel/Cisplatin Induction Therapy Followed By Concurrent Chemoradiotherapy Versus Concurrent Chemoradiotherapy Followed By Consolidation Docetaxel/Cisplatin in Patients With Locally Advanced Unresectable NSCLC (Stage IIIA-Multiple cN2 or IIIB),"Primary Objective: - To evaluate the toxicity/safety profile of docetaxel/cisplatin induction therapy followed by concurrent chemoradiotherapy versus concurrent chemoradiotherapy followed by consolidation docetaxel/cisplatin in patients with locally advanced unresectable NSCLC (stage IIIA- multiple cN2 or IIIB). Secondary Objective: - To estimate efficacy parameters in overall response rate, progression free survival and 1 year survival for each of the two above mentioned arms.",2004,3,Phase 2,['Lung Neoplasms'],72,Completed,['Lung Neoplasms'],Lung Neoplasms
Sanofi,NCT00174837.xml,"Phase III Randomized Trial of Concomitant Radiation, Cisplatin, and Tirapazamine Versus Concomitant Radiation and Cisplatin in Patients With Advanced Head and Neck Cancer","The trial will compare the efficacy and safety of concomitant chemoradiation with tirapazamine, cisplatin and radiation versus cisplatin and radiation.",2005,4,Phase 3,['Head and Neck Squamous Cell Carcinoma'],317,Completed,"['Carcinoma, Squamous Cell', 'Head and Neck Neoplasms']",Head and Neck Neoplasms
Sanofi,NCT00174863.xml,"Evaluation of Two Doses of SR31747A (75 mg and 125 mg) in Non-Metastatic Androgen-Independent Prostate Cancer. Randomized, Double-Blind, Placebo Controlled Phase II Study","To evaluate the efficacy of SR31747 given at 75 or 125mg per day versus placebo in androgen prostate cancer patient without distant metastases with Time to Clinical progression as main objective and PSA parameters, Tumor response, survival , safety,Tumor-related symptoms deterioration Quality of Life, PK analysis as secondary objectives",2003,10,Phase 2,['Prostatic Neoplasm'],232,Completed,['Prostatic Neoplasms'],Prostatic Neoplasms
Sanofi,NCT00196729.xml,"A Randomized, Controlled, Open-Label, Multi-National Pilot Study of Thyroid Remnant Ablation Comparing the Safety and Ablation Rate Following 131I Administration Using Thyrogen® Versus the Safety and Ablation Rate Following 131I Administration in the Hypothyroid State","This study was conducted in patients with differentiated thyroid cancer who had undergone near-total thyroidectomy. After surgery patients were randomized to one of two methods of performing thyroid remnant ablation (use of radioiodine to remove any remaining thyroid tissue). One group of patients who took thyroid hormone medicine and were euthyroid [i.e. their thyroid stimulating hormone (TSH) levels are normal], and received injections of Thyrogen (0.9 mg daily on two consecutive days) followed by oral radioiodine. The second group of patients did not take thyroid hormone medicine so that they were hypothyroid (i.e. their TSH levels were high), and were given oral radioiodine. All patients received the same amount of radioactive iodine (100 mCi or 3.7 GBq of 131I). Approximately 8 months later, whole body scans were performed on all patients to learn whether the thyroid remnants had been successfully ablated. The safety profile of Thyrogen when used for radioiodine remnant ablation also was assessed. The Quality of Life, the radioiodine uptake and retention into the thyroid bed, as well as radiation exposure to the remainder of the body also were assessed in both groups of patients.",2001,12,Phase 3,['Thyroid Neoplasms'],63,Completed,"['Thyroid Diseases', 'Thyroid Neoplasms', 'Hypothyroidism']",Thyroid Neoplasms
Sanofi,NCT00252746.xml,"A Randomised, Double-blind, Parallel-group, Dose Finding Study to Assess the Efficacy and Safety of ZD6474 in Patients With Advanced, Metastatic, or Recurrent NSCLC Who Have Failed Previous Chemotherapy Regimens, at Least One of Which Contained Platinum [Title Abbreviated]","To assess the objective response rates (by RECIST) to ZD6474 100, 200 and 300 mg/day respectively",2004,12,Phase 2,['Non Small Cell Lung Carcinoma'],53,Completed,"['Lung Neoplasms', 'Carcinoma, Non-Small-Cell Lung']","Carcinoma, Non-Small-Cell Lung"
Sanofi,NCT00258739.xml,"A Phase II, Randomized Study With Docetaxel-gemcitabine Followed by Radiotherapy vs Concomitant Treatment (Radiotherapy and Carboplatine-docetaxel) Followed by Docetaxel-gemcitabine Versus Docetaxel-gemcitabine Followed by Concomitant Treatment (Radiotherapy and Carboplatine-docetaxel) in Stage III NSCLC","Primary objective: - To classify the 2 study groups, according to the tumoral response. Secondary objectives: - To evaluate the percentage of focused control per year. - To calculate the time until progression. - To evaluate the safety profile.",2001,10,Phase 2,['Lung Neoplasms'],140,Completed,['Lung Neoplasms'],Lung Neoplasms
Sanofi,NCT00259363.xml,Phase I-II Study of Preoperative Oxaliplatin-FU and Radiotherapy for Patients With Rectal Cancer,#NAME?,2002,10,Phase 1/Phase 2,['Rectal Neoplasms'],46,Terminated,['Rectal Neoplasms'],Rectal Neoplasms
Sanofi,NCT00259402.xml,Phase II Open-label Single Arm Study of Oxaliplatin Combined With Cisplatin and 5FU in Advanced Esophagus Cancer Patients,- To determine the activity and efficacy of the schema specified as dose regimen - To determine the safety and tolerability of the oxaliplatin-cisplatin and 5FU,2000,2,Phase 2,['Esophageal Neoplasms'],41,Completed,['Esophageal Neoplasms'],Esophageal Neoplasms
Sanofi,NCT00261092.xml,"Phase II Multicenter, Open Label Study of Oxaliplatin Combined With Gemcitabine(GEMOX) in Advanced and Metastatic Pancreatic Cancer","Primary objective: - To evaluate overall response rate (based on RECIST criterion) Secondary objective: - To evaluate time to progression, clinical benefit, quality of life and safety",2005,10,Phase 2,['Pancreatic Neoplasms'],48,Completed,['Pancreatic Neoplasms'],Pancreatic Neoplasms
Sanofi,NCT00261703.xml,Randomized Phase III Trial Comparing Induction Chemotherapy With Cisplatin/5-fluorouracil (PF) or Docetaxel/Cisplatin/5-fluorouracil (TPF) Plus Chemoradiotherapy (CRT) Versus CRT Alone as First-line Treatment or Unresectable Locally Advanced Head and Neck Cancer (LAHNC).,"Primary Objective: - Phase II: To determine the best treatment scheme (TPF vs. PF). - Phase III: To compare the time to progression and the treatment failure at the 3 arms. Secondary objectives: - To evaluate the safety at the 3 arms. - To compare the progression , overall survival and locoregional control at the 3 arms.",2002,12,Phase 2/Phase 3,['Head and Neck Neoplasms'],439,Completed,['Head and Neck Neoplasms'],Head and Neck Neoplasms
Sanofi,NCT00263016.xml,A Phase II Pilot Study of Combination of Irinotecan and Cisplatin in Docetaxel/Cisplatin-Responsive Advanced Non-Small Cell Lung Cancer,Primary Objective: - To compare the tumour response rate of combination chemotherapy irinotecan/cisplatin (IC) versus docetaxel/cisplatin (DC) in advanced NSCLC patients who responded to 3 courses of docetaxel/cisplatin. Secondary Objectives : - To compare the time to progression after chemotherapy treatment between the IC and DC arms of treatment. - To compare the toxicity profile of the IC and DC arms of treatment.,2005,5,Phase 2,"['Carcinoma, Non-Small-Cell Lung']",50,Terminated,"['Carcinoma, Non-Small-Cell Lung']","Carcinoma, Non-Small-Cell Lung"
Sanofi,NCT00263029.xml,Pre-operative Radiotherapy/ Oxaliplatin/ Capecitabine Treatment For Unresectable Locally-advanced Rectal Cancer (PROCTFUL),"The purpose of this phase II trial is to determine the efficacy and safety of the combination of oxaliplatin, capecitabine and radiotherapy as preoperative therapy in locally advanced cancers of the rectum.",2002,6,Phase 2,['Rectal Neoplasms'],18,Completed,['Rectal Neoplasms'],Rectal Neoplasms
Sanofi,NCT00263055.xml,Multicenter Asia Study in Adjuvant Treatment of Colon Cancer With OxaliplaTin/5FU-LV,Safety & tolerability of FOLFOX4 regimen in the adjuvant treatment of colon cancer in Asian patients,2004,8,Phase 4,['Colonic Neoplasms'],0,Completed,['Colonic Neoplasms'],Colonic Neoplasms
